"","Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked"
"1","No","3rd","male",22,1,0,7.25,"Southampton"
"2","Yes","1st","female",38,1,0,71.2833,"Cherbourg"
"3","Yes","3rd","female",26,0,0,7.925,"Southampton"
"4","Yes","1st","female",35,1,0,53.1,"Southampton"
"5","No","3rd","male",35,0,0,8.05,"Southampton"
"6","No","3rd","male",34,0,0,8.4583,"Queenstown"
"7","No","1st","male",54,0,0,51.8625,"Southampton"
"8","No","3rd","male",2,3,1,21.075,"Southampton"
"9","Yes","3rd","female",27,0,2,11.1333,"Southampton"
"10","Yes","2nd","female",14,1,0,30.0708,"Cherbourg"
"11","Yes","3rd","female",4,1,1,16.7,"Southampton"
"12","Yes","1st","female",58,0,0,26.55,"Southampton"
"13","No","3rd","male",20,0,0,8.05,"Southampton"
"14","No","3rd","male",39,1,5,31.275,"Southampton"
"15","No","3rd","female",14,0,0,7.8542,"Southampton"
"16","Yes","2nd","female",55,0,0,16,"Southampton"
"17","No","3rd","male",2,4,1,29.125,"Queenstown"
"18","Yes","2nd","male",22,0,0,13,"Southampton"
"19","No","3rd","female",31,1,0,18,"Southampton"
"20","Yes","3rd","female",9,0,0,7.225,"Cherbourg"
"21","No","2nd","male",35,0,0,26,"Southampton"
"22","Yes","2nd","male",34,0,0,13,"Southampton"
"23","Yes","3rd","female",15,0,0,8.0292,"Queenstown"
"24","Yes","1st","male",28,0,0,35.5,"Southampton"
"25","No","3rd","female",8,3,1,21.075,"Southampton"
"26","Yes","3rd","female",38,1,5,31.3875,"Southampton"
"27","No","3rd","male",31,0,0,7.225,"Cherbourg"
"28","No","1st","male",19,3,2,263,"Southampton"
"29","Yes","3rd","female",21,0,0,7.8792,"Queenstown"
"30","No","3rd","male",29,0,0,7.8958,"Southampton"
"31","No","1st","male",40,0,0,27.7208,"Cherbourg"
"32","Yes","1st","female",39,1,0,146.5208,"Cherbourg"
"33","Yes","3rd","female",21,0,0,7.75,"Queenstown"
"34","No","2nd","male",66,0,0,10.5,"Southampton"
"35","No","1st","male",28,1,0,82.1708,"Cherbourg"
"36","No","1st","male",42,1,0,52,"Southampton"
"37","Yes","3rd","male",20,0,0,7.2292,"Cherbourg"
"38","No","3rd","male",21,0,0,8.05,"Southampton"
"39","No","3rd","female",18,2,0,18,"Southampton"
"40","Yes","3rd","female",14,1,0,11.2417,"Cherbourg"
"41","No","3rd","female",40,1,0,9.475,"Southampton"
"42","No","2nd","female",27,1,0,21,"Southampton"
"43","No","3rd","male",31,0,0,7.8958,"Cherbourg"
"44","Yes","2nd","female",3,1,2,41.5792,"Cherbourg"
"45","Yes","3rd","female",19,0,0,7.8792,"Queenstown"
"46","No","3rd","male",30,0,0,8.05,"Southampton"
"47","No","3rd","male",34,1,0,15.5,"Queenstown"
"48","Yes","3rd","female",21,0,0,7.75,"Queenstown"
"49","No","3rd","male",26,2,0,21.6792,"Cherbourg"
"50","No","3rd","female",18,1,0,17.8,"Southampton"
"51","No","3rd","male",7,4,1,39.6875,"Southampton"
"52","No","3rd","male",21,0,0,7.8,"Southampton"
"53","Yes","1st","female",49,1,0,76.7292,"Cherbourg"
"54","Yes","2nd","female",29,1,0,26,"Southampton"
"55","No","1st","male",65,0,1,61.9792,"Cherbourg"
"56","Yes","1st","male",42,0,0,35.5,"Southampton"
"57","Yes","2nd","female",21,0,0,10.5,"Southampton"
"58","No","3rd","male",28,0,0,7.2292,"Cherbourg"
"59","Yes","2nd","female",5,1,2,27.75,"Southampton"
"60","No","3rd","male",11,5,2,46.9,"Southampton"
"61","No","3rd","male",22,0,0,7.2292,"Cherbourg"
"63","No","1st","male",45,1,0,83.475,"Southampton"
"64","No","3rd","male",4,3,2,27.9,"Southampton"
"65","No","1st","male",46,0,0,27.7208,"Cherbourg"
"66","Yes","3rd","male",14,1,1,15.2458,"Cherbourg"
"67","Yes","2nd","female",29,0,0,10.5,"Southampton"
"68","No","3rd","male",19,0,0,8.1583,"Southampton"
"69","Yes","3rd","female",17,4,2,7.925,"Southampton"
"70","No","3rd","male",26,2,0,8.6625,"Southampton"
"71","No","2nd","male",32,0,0,10.5,"Southampton"
"72","No","3rd","female",16,5,2,46.9,"Southampton"
"73","No","2nd","male",21,0,0,73.5,"Southampton"
"74","No","3rd","male",26,1,0,14.4542,"Cherbourg"
"75","Yes","3rd","male",32,0,0,56.4958,"Southampton"
"76","No","3rd","male",25,0,0,7.65,"Southampton"
"77","No","3rd","male",29,0,0,7.8958,"Southampton"
"78","No","3rd","male",30,0,0,8.05,"Southampton"
"79","Yes","2nd","male",0,0,2,29,"Southampton"
"80","Yes","3rd","female",30,0,0,12.475,"Southampton"
"81","No","3rd","male",22,0,0,9,"Southampton"
"82","Yes","3rd","male",29,0,0,9.5,"Southampton"
"83","Yes","3rd","female",21,0,0,7.7875,"Queenstown"
"84","No","1st","male",28,0,0,47.1,"Southampton"
"85","Yes","2nd","female",17,0,0,10.5,"Southampton"
"86","Yes","3rd","female",33,3,0,15.85,"Southampton"
"87","No","3rd","male",16,1,3,34.375,"Southampton"
"88","No","3rd","male",30,0,0,8.05,"Southampton"
"89","Yes","1st","female",23,3,2,263,"Southampton"
"90","No","3rd","male",24,0,0,8.05,"Southampton"
"91","No","3rd","male",29,0,0,8.05,"Southampton"
"92","No","3rd","male",20,0,0,7.8542,"Southampton"
"93","No","1st","male",46,1,0,61.175,"Southampton"
"94","No","3rd","male",26,1,2,20.575,"Southampton"
"95","No","3rd","male",59,0,0,7.25,"Southampton"
"96","No","3rd","male",30,0,0,8.05,"Southampton"
"97","No","1st","male",71,0,0,34.6542,"Cherbourg"
"98","Yes","1st","male",23,0,1,63.3583,"Cherbourg"
"99","Yes","2nd","female",34,0,1,23,"Southampton"
"100","No","2nd","male",34,1,0,26,"Southampton"
"101","No","3rd","female",28,0,0,7.8958,"Southampton"
"102","No","3rd","male",29,0,0,7.8958,"Southampton"
"103","No","1st","male",21,0,1,77.2875,"Southampton"
"104","No","3rd","male",33,0,0,8.6542,"Southampton"
"105","No","3rd","male",37,2,0,7.925,"Southampton"
"106","No","3rd","male",28,0,0,7.8958,"Southampton"
"107","Yes","3rd","female",21,0,0,7.65,"Southampton"
"108","Yes","3rd","male",27,0,0,7.775,"Southampton"
"109","No","3rd","male",38,0,0,7.8958,"Southampton"
"110","Yes","3rd","female",19,1,0,24.15,"Queenstown"
"111","No","1st","male",47,0,0,52,"Southampton"
"112","No","3rd","female",14,1,0,14.4542,"Cherbourg"
"113","No","3rd","male",22,0,0,8.05,"Southampton"
"114","No","3rd","female",20,1,0,9.825,"Southampton"
"115","No","3rd","female",17,0,0,14.4583,"Cherbourg"
"116","No","3rd","male",21,0,0,7.925,"Southampton"
"117","No","3rd","male",70,0,0,7.75,"Queenstown"
"118","No","2nd","male",29,1,0,21,"Southampton"
"119","No","1st","male",24,0,1,247.5208,"Cherbourg"
"120","No","3rd","female",2,4,2,31.275,"Southampton"
"121","No","2nd","male",21,2,0,73.5,"Southampton"
"122","No","3rd","male",30,0,0,8.05,"Southampton"
"123","No","2nd","male",32,1,0,30.0708,"Cherbourg"
"124","Yes","2nd","female",32,0,0,13,"Southampton"
"125","No","1st","male",54,0,1,77.2875,"Southampton"
"126","Yes","3rd","male",12,1,0,11.2417,"Cherbourg"
"127","No","3rd","male",34,0,0,7.75,"Queenstown"
"128","Yes","3rd","male",24,0,0,7.1417,"Southampton"
"129","Yes","3rd","female",9,1,1,22.3583,"Cherbourg"
"130","No","3rd","male",45,0,0,6.975,"Southampton"
"131","No","3rd","male",33,0,0,7.8958,"Cherbourg"
"132","No","3rd","male",20,0,0,7.05,"Southampton"
"133","No","3rd","female",47,1,0,14.5,"Southampton"
"134","Yes","2nd","female",29,1,0,26,"Southampton"
"135","No","2nd","male",25,0,0,13,"Southampton"
"136","No","2nd","male",23,0,0,15.0458,"Cherbourg"
"137","Yes","1st","female",19,0,2,26.2833,"Southampton"
"138","No","1st","male",37,1,0,53.1,"Southampton"
"139","No","3rd","male",16,0,0,9.2167,"Southampton"
"140","No","1st","male",24,0,0,79.2,"Cherbourg"
"141","No","3rd","female",18,0,2,15.2458,"Cherbourg"
"142","Yes","3rd","female",22,0,0,7.75,"Southampton"
"143","Yes","3rd","female",24,1,0,15.85,"Southampton"
"144","No","3rd","male",19,0,0,6.75,"Queenstown"
"145","No","2nd","male",18,0,0,11.5,"Southampton"
"146","No","2nd","male",19,1,1,36.75,"Southampton"
"147","Yes","3rd","male",27,0,0,7.7958,"Southampton"
"148","No","3rd","female",9,2,2,34.375,"Southampton"
"149","No","2nd","male",36,0,2,26,"Southampton"
"150","No","2nd","male",42,0,0,13,"Southampton"
"151","No","2nd","male",51,0,0,12.525,"Southampton"
"152","Yes","1st","female",22,1,0,66.6,"Southampton"
"153","No","3rd","male",55,0,0,8.05,"Southampton"
"154","No","3rd","male",40,0,2,14.5,"Southampton"
"155","No","3rd","male",30,0,0,7.3125,"Southampton"
"156","No","1st","male",51,0,1,61.3792,"Cherbourg"
"157","Yes","3rd","female",16,0,0,7.7333,"Queenstown"
"158","No","3rd","male",30,0,0,8.05,"Southampton"
"159","No","3rd","male",25,0,0,8.6625,"Southampton"
"160","No","3rd","male",7,8,2,69.55,"Southampton"
"161","No","3rd","male",44,0,1,16.1,"Southampton"
"162","Yes","2nd","female",40,0,0,15.75,"Southampton"
"163","No","3rd","male",26,0,0,7.775,"Southampton"
"164","No","3rd","male",17,0,0,8.6625,"Southampton"
"165","No","3rd","male",1,4,1,39.6875,"Southampton"
"166","Yes","3rd","male",9,0,2,20.525,"Southampton"
"167","Yes","1st","female",33,0,1,55,"Southampton"
"168","No","3rd","female",45,1,4,27.9,"Southampton"
"169","No","1st","male",53,0,0,25.925,"Southampton"
"170","No","3rd","male",28,0,0,56.4958,"Southampton"
"171","No","1st","male",61,0,0,33.5,"Southampton"
"172","No","3rd","male",4,4,1,29.125,"Queenstown"
"173","Yes","3rd","female",1,1,1,11.1333,"Southampton"
"174","No","3rd","male",21,0,0,7.925,"Southampton"
"175","No","1st","male",56,0,0,30.6958,"Cherbourg"
"176","No","3rd","male",18,1,1,7.8542,"Southampton"
"177","No","3rd","male",12,3,1,25.4667,"Southampton"
"178","No","1st","female",50,0,0,28.7125,"Cherbourg"
"179","No","2nd","male",30,0,0,13,"Southampton"
"180","No","3rd","male",36,0,0,0,"Southampton"
"181","No","3rd","female",9,8,2,69.55,"Southampton"
"182","No","2nd","male",36,0,0,15.05,"Cherbourg"
"183","No","3rd","male",9,4,2,31.3875,"Southampton"
"184","Yes","2nd","male",1,2,1,39,"Southampton"
"185","Yes","3rd","female",4,0,2,22.025,"Southampton"
"186","No","1st","male",47,0,0,50,"Southampton"
"187","Yes","3rd","female",19,1,0,15.5,"Queenstown"
"188","Yes","1st","male",45,0,0,26.55,"Southampton"
"189","No","3rd","male",40,1,1,15.5,"Queenstown"
"190","No","3rd","male",36,0,0,7.8958,"Southampton"
"191","Yes","2nd","female",32,0,0,13,"Southampton"
"192","No","2nd","male",19,0,0,13,"Southampton"
"193","Yes","3rd","female",19,1,0,7.8542,"Southampton"
"194","Yes","2nd","male",3,1,1,26,"Southampton"
"195","Yes","1st","female",44,0,0,27.7208,"Cherbourg"
"196","Yes","1st","female",58,0,0,146.5208,"Cherbourg"
"197","No","3rd","male",34,0,0,7.75,"Queenstown"
"198","No","3rd","male",42,0,1,8.4042,"Southampton"
"199","Yes","3rd","female",21,0,0,7.75,"Queenstown"
"200","No","2nd","female",24,0,0,13,"Southampton"
"201","No","3rd","male",28,0,0,9.5,"Southampton"
"202","No","3rd","male",7,8,2,69.55,"Southampton"
"203","No","3rd","male",34,0,0,6.4958,"Southampton"
"204","No","3rd","male",45,0,0,7.225,"Cherbourg"
"205","Yes","3rd","male",18,0,0,8.05,"Southampton"
"206","No","3rd","female",2,0,1,10.4625,"Southampton"
"207","No","3rd","male",32,1,0,15.85,"Southampton"
"208","Yes","3rd","male",26,0,0,18.7875,"Cherbourg"
"209","Yes","3rd","female",16,0,0,7.75,"Queenstown"
"210","Yes","1st","male",40,0,0,31,"Cherbourg"
"211","No","3rd","male",24,0,0,7.05,"Southampton"
"212","Yes","2nd","female",35,0,0,21,"Southampton"
"213","No","3rd","male",22,0,0,7.25,"Southampton"
"214","No","2nd","male",30,0,0,13,"Southampton"
"215","No","3rd","male",34,1,0,7.75,"Queenstown"
"216","Yes","1st","female",31,1,0,113.275,"Cherbourg"
"217","Yes","3rd","female",27,0,0,7.925,"Southampton"
"218","No","2nd","male",42,1,0,27,"Southampton"
"219","Yes","1st","female",32,0,0,76.2917,"Cherbourg"
"220","No","2nd","male",30,0,0,10.5,"Southampton"
"221","Yes","3rd","male",16,0,0,8.05,"Southampton"
"222","No","2nd","male",27,0,0,13,"Southampton"
"223","No","3rd","male",51,0,0,8.05,"Southampton"
"224","No","3rd","male",29,0,0,7.8958,"Southampton"
"225","Yes","1st","male",38,1,0,90,"Southampton"
"226","No","3rd","male",22,0,0,9.35,"Southampton"
"227","Yes","2nd","male",19,0,0,10.5,"Southampton"
"228","No","3rd","male",20,0,0,7.25,"Southampton"
"229","No","2nd","male",18,0,0,13,"Southampton"
"230","No","3rd","female",13,3,1,25.4667,"Southampton"
"231","Yes","1st","female",35,1,0,83.475,"Southampton"
"232","No","3rd","male",29,0,0,7.775,"Southampton"
"233","No","2nd","male",59,0,0,13.5,"Southampton"
"234","Yes","3rd","female",5,4,2,31.3875,"Southampton"
"235","No","2nd","male",24,0,0,10.5,"Southampton"
"236","No","3rd","female",25,0,0,7.55,"Southampton"
"237","No","2nd","male",44,1,0,26,"Southampton"
"238","Yes","2nd","female",8,0,2,26.25,"Southampton"
"239","No","2nd","male",19,0,0,10.5,"Southampton"
"240","No","2nd","male",33,0,0,12.275,"Southampton"
"241","No","3rd","female",24,1,0,14.4542,"Cherbourg"
"242","Yes","3rd","female",19,1,0,15.5,"Queenstown"
"243","No","2nd","male",29,0,0,10.5,"Southampton"
"244","No","3rd","male",22,0,0,7.125,"Southampton"
"245","No","3rd","male",30,0,0,7.225,"Cherbourg"
"246","No","1st","male",44,2,0,90,"Queenstown"
"247","No","3rd","female",25,0,0,7.775,"Southampton"
"248","Yes","2nd","female",24,0,2,14.5,"Southampton"
"249","Yes","1st","male",37,1,1,52.5542,"Southampton"
"250","No","2nd","male",54,1,0,26,"Southampton"
"251","No","3rd","male",28,0,0,7.25,"Southampton"
"252","No","3rd","female",29,1,1,10.4625,"Southampton"
"253","No","1st","male",62,0,0,26.55,"Southampton"
"254","No","3rd","male",30,1,0,16.1,"Southampton"
"255","No","3rd","female",41,0,2,20.2125,"Southampton"
"256","Yes","3rd","female",29,0,2,15.2458,"Cherbourg"
"257","Yes","1st","female",30,0,0,79.2,"Cherbourg"
"258","Yes","1st","female",30,0,0,86.5,"Southampton"
"259","Yes","1st","female",35,0,0,512.3292,"Cherbourg"
"260","Yes","2nd","female",50,0,1,26,"Southampton"
"261","No","3rd","male",34,0,0,7.75,"Queenstown"
"262","Yes","3rd","male",3,4,2,31.3875,"Southampton"
"263","No","1st","male",52,1,1,79.65,"Southampton"
"264","No","1st","male",40,0,0,0,"Southampton"
"265","No","3rd","female",35,0,0,7.75,"Queenstown"
"266","No","2nd","male",36,0,0,10.5,"Southampton"
"267","No","3rd","male",16,4,1,39.6875,"Southampton"
"268","Yes","3rd","male",25,1,0,7.775,"Southampton"
"269","Yes","1st","female",58,0,1,153.4625,"Southampton"
"270","Yes","1st","female",35,0,0,135.6333,"Southampton"
"271","No","1st","male",52,0,0,31,"Southampton"
"272","Yes","3rd","male",25,0,0,0,"Southampton"
"273","Yes","2nd","female",41,0,1,19.5,"Southampton"
"274","No","1st","male",37,0,1,29.7,"Cherbourg"
"275","Yes","3rd","female",21,0,0,7.75,"Queenstown"
"276","Yes","1st","female",63,1,0,77.9583,"Southampton"
"277","No","3rd","female",45,0,0,7.75,"Southampton"
"278","No","2nd","male",31,0,0,0,"Southampton"
"279","No","3rd","male",7,4,1,29.125,"Queenstown"
"280","Yes","3rd","female",35,1,1,20.25,"Southampton"
"281","No","3rd","male",65,0,0,7.75,"Queenstown"
"282","No","3rd","male",28,0,0,7.8542,"Southampton"
"283","No","3rd","male",16,0,0,9.5,"Southampton"
"284","Yes","3rd","male",19,0,0,8.05,"Southampton"
"285","No","1st","male",53,0,0,26,"Southampton"
"286","No","3rd","male",33,0,0,8.6625,"Cherbourg"
"287","Yes","3rd","male",30,0,0,9.5,"Southampton"
"288","No","3rd","male",22,0,0,7.8958,"Southampton"
"289","Yes","2nd","male",42,0,0,13,"Southampton"
"290","Yes","3rd","female",22,0,0,7.75,"Queenstown"
"291","Yes","1st","female",26,0,0,78.85,"Southampton"
"292","Yes","1st","female",19,1,0,91.0792,"Cherbourg"
"293","No","2nd","male",36,0,0,12.875,"Cherbourg"
"294","No","3rd","female",24,0,0,8.85,"Southampton"
"295","No","3rd","male",24,0,0,7.8958,"Southampton"
"296","No","1st","male",46,0,0,27.7208,"Cherbourg"
"297","No","3rd","male",23,0,0,7.2292,"Cherbourg"
"298","No","1st","female",2,1,2,151.55,"Southampton"
"299","Yes","1st","male",43,0,0,30.5,"Southampton"
"300","Yes","1st","female",50,0,1,247.5208,"Cherbourg"
"301","Yes","3rd","female",21,0,0,7.75,"Queenstown"
"302","Yes","3rd","male",23,2,0,23.25,"Queenstown"
"303","No","3rd","male",19,0,0,0,"Southampton"
"304","Yes","2nd","female",30,0,0,12.35,"Queenstown"
"305","No","3rd","male",30,0,0,8.05,"Southampton"
"306","Yes","1st","male",0,1,2,151.55,"Southampton"
"307","Yes","1st","female",32,0,0,110.8833,"Cherbourg"
"308","Yes","1st","female",17,1,0,108.9,"Cherbourg"
"309","No","2nd","male",30,1,0,24,"Cherbourg"
"310","Yes","1st","female",30,0,0,56.9292,"Cherbourg"
"311","Yes","1st","female",24,0,0,83.1583,"Cherbourg"
"312","Yes","1st","female",18,2,2,262.375,"Cherbourg"
"313","No","2nd","female",26,1,1,26,"Southampton"
"314","No","3rd","male",28,0,0,7.8958,"Southampton"
"315","No","2nd","male",43,1,1,26.25,"Southampton"
"316","Yes","3rd","female",26,0,0,7.8542,"Southampton"
"317","Yes","2nd","female",24,1,0,26,"Southampton"
"318","No","2nd","male",54,0,0,14,"Southampton"
"319","Yes","1st","female",31,0,2,164.8667,"Southampton"
"320","Yes","1st","female",40,1,1,134.5,"Cherbourg"
"321","No","3rd","male",22,0,0,7.25,"Southampton"
"322","No","3rd","male",27,0,0,7.8958,"Southampton"
"323","Yes","2nd","female",30,0,0,12.35,"Queenstown"
"324","Yes","2nd","female",22,1,1,29,"Southampton"
"325","No","3rd","male",7,8,2,69.55,"Southampton"
"326","Yes","1st","female",36,0,0,135.6333,"Cherbourg"
"327","No","3rd","male",61,0,0,6.2375,"Southampton"
"328","Yes","2nd","female",36,0,0,13,"Southampton"
"329","Yes","3rd","female",31,1,1,20.525,"Southampton"
"330","Yes","1st","female",16,0,1,57.9792,"Cherbourg"
"331","Yes","3rd","female",21,2,0,23.25,"Queenstown"
"332","No","1st","male",45,0,0,28.5,"Southampton"
"333","No","1st","male",38,0,1,153.4625,"Southampton"
"334","No","3rd","male",16,2,0,18,"Southampton"
"335","Yes","1st","female",36,1,0,133.65,"Southampton"
"336","No","3rd","male",29,0,0,7.8958,"Southampton"
"337","No","1st","male",29,1,0,66.6,"Southampton"
"338","Yes","1st","female",41,0,0,134.5,"Cherbourg"
"339","Yes","3rd","male",45,0,0,8.05,"Southampton"
"340","No","1st","male",45,0,0,35.5,"Southampton"
"341","Yes","2nd","male",2,1,1,26,"Southampton"
"342","Yes","1st","female",24,3,2,263,"Southampton"
"343","No","2nd","male",28,0,0,13,"Southampton"
"344","No","2nd","male",25,0,0,13,"Southampton"
"345","No","2nd","male",36,0,0,13,"Southampton"
"346","Yes","2nd","female",24,0,0,13,"Southampton"
"347","Yes","2nd","female",40,0,0,13,"Southampton"
"348","Yes","3rd","female",27,1,0,16.1,"Southampton"
"349","Yes","3rd","male",3,1,1,15.9,"Southampton"
"350","No","3rd","male",42,0,0,8.6625,"Southampton"
"351","No","3rd","male",23,0,0,9.225,"Southampton"
"352","No","1st","male",51,0,0,35,"Southampton"
"353","No","3rd","male",15,1,1,7.2292,"Cherbourg"
"354","No","3rd","male",25,1,0,17.8,"Southampton"
"355","No","3rd","male",31,0,0,7.225,"Cherbourg"
"356","No","3rd","male",28,0,0,9.5,"Southampton"
"357","Yes","1st","female",22,0,1,55,"Southampton"
"358","No","2nd","female",38,0,0,13,"Southampton"
"359","Yes","3rd","female",21,0,0,7.8792,"Queenstown"
"360","Yes","3rd","female",21,0,0,7.8792,"Queenstown"
"361","No","3rd","male",40,1,4,27.9,"Southampton"
"362","No","2nd","male",29,1,0,27.7208,"Cherbourg"
"363","No","3rd","female",45,0,1,14.4542,"Cherbourg"
"364","No","3rd","male",35,0,0,7.05,"Southampton"
"365","No","3rd","male",34,1,0,15.5,"Queenstown"
"366","No","3rd","male",30,0,0,7.25,"Southampton"
"367","Yes","1st","female",60,1,0,75.25,"Cherbourg"
"368","Yes","3rd","female",9,0,0,7.2292,"Cherbourg"
"369","Yes","3rd","female",21,0,0,7.75,"Queenstown"
"370","Yes","1st","female",24,0,0,69.3,"Cherbourg"
"371","Yes","1st","male",25,1,0,55.4417,"Cherbourg"
"372","No","3rd","male",18,1,0,6.4958,"Southampton"
"373","No","3rd","male",19,0,0,8.05,"Southampton"
"374","No","1st","male",22,0,0,135.6333,"Cherbourg"
"375","No","3rd","female",3,3,1,21.075,"Southampton"
"376","Yes","1st","female",39,1,0,82.1708,"Cherbourg"
"377","Yes","3rd","female",22,0,0,7.25,"Southampton"
"378","No","1st","male",27,0,2,211.5,"Cherbourg"
"379","No","3rd","male",20,0,0,4.0125,"Cherbourg"
"380","No","3rd","male",19,0,0,7.775,"Southampton"
"381","Yes","1st","female",42,0,0,227.525,"Cherbourg"
"382","Yes","3rd","female",1,0,2,15.7417,"Cherbourg"
"383","No","3rd","male",32,0,0,7.925,"Southampton"
"384","Yes","1st","female",35,1,0,52,"Southampton"
"385","No","3rd","male",29,0,0,7.8958,"Southampton"
"386","No","2nd","male",18,0,0,73.5,"Southampton"
"387","No","3rd","male",1,5,2,46.9,"Southampton"
"388","Yes","2nd","female",36,0,0,13,"Southampton"
"389","No","3rd","male",34,0,0,7.7292,"Queenstown"
"390","Yes","2nd","female",17,0,0,12,"Cherbourg"
"391","Yes","1st","male",36,1,2,120,"Southampton"
"392","Yes","3rd","male",21,0,0,7.7958,"Southampton"
"393","No","3rd","male",28,2,0,7.925,"Southampton"
"394","Yes","1st","female",23,1,0,113.275,"Cherbourg"
"395","Yes","3rd","female",24,0,2,16.7,"Southampton"
"396","No","3rd","male",22,0,0,7.7958,"Southampton"
"397","No","3rd","female",31,0,0,7.8542,"Southampton"
"398","No","2nd","male",46,0,0,26,"Southampton"
"399","No","2nd","male",23,0,0,10.5,"Southampton"
"400","Yes","2nd","female",28,0,0,12.65,"Southampton"
"401","Yes","3rd","male",39,0,0,7.925,"Southampton"
"402","No","3rd","male",26,0,0,8.05,"Southampton"
"403","No","3rd","female",21,1,0,9.825,"Southampton"
"404","No","3rd","male",28,1,0,15.85,"Southampton"
"405","No","3rd","female",20,0,0,8.6625,"Southampton"
"406","No","2nd","male",34,1,0,21,"Southampton"
"407","No","3rd","male",51,0,0,7.75,"Southampton"
"408","Yes","2nd","male",3,1,1,18.75,"Southampton"
"409","No","3rd","male",21,0,0,7.775,"Southampton"
"410","No","3rd","female",13,3,1,25.4667,"Southampton"
"411","No","3rd","male",29,0,0,7.8958,"Southampton"
"412","No","3rd","male",34,0,0,6.8583,"Queenstown"
"413","Yes","1st","female",33,1,0,90,"Queenstown"
"414","No","2nd","male",31,0,0,0,"Southampton"
"415","Yes","3rd","male",44,0,0,7.925,"Southampton"
"416","No","3rd","female",25,0,0,8.05,"Southampton"
"417","Yes","2nd","female",34,1,1,32.5,"Southampton"
"418","Yes","2nd","female",18,0,2,13,"Southampton"
"419","No","2nd","male",30,0,0,13,"Southampton"
"420","No","3rd","female",10,0,2,24.15,"Southampton"
"421","No","3rd","male",31,0,0,7.8958,"Cherbourg"
"422","No","3rd","male",21,0,0,7.7333,"Queenstown"
"423","No","3rd","male",29,0,0,7.875,"Southampton"
"424","No","3rd","female",28,1,1,14.4,"Southampton"
"425","No","3rd","male",18,1,1,20.2125,"Southampton"
"426","No","3rd","male",28,0,0,7.25,"Southampton"
"427","Yes","2nd","female",28,1,0,26,"Southampton"
"428","Yes","2nd","female",19,0,0,26,"Southampton"
"429","No","3rd","male",34,0,0,7.75,"Queenstown"
"430","Yes","3rd","male",32,0,0,8.05,"Southampton"
"431","Yes","1st","male",28,0,0,26.55,"Southampton"
"432","Yes","3rd","female",27,1,0,16.1,"Southampton"
"433","Yes","2nd","female",42,1,0,26,"Southampton"
"434","No","3rd","male",17,0,0,7.125,"Southampton"
"435","No","1st","male",50,1,0,55.9,"Southampton"
"436","Yes","1st","female",14,1,2,120,"Southampton"
"437","No","3rd","female",21,2,2,34.375,"Southampton"
"438","Yes","2nd","female",24,2,3,18.75,"Southampton"
"439","No","1st","male",64,1,4,263,"Southampton"
"440","No","2nd","male",31,0,0,10.5,"Southampton"
"441","Yes","2nd","female",45,1,1,26.25,"Southampton"
"442","No","3rd","male",20,0,0,9.5,"Southampton"
"443","No","3rd","male",25,1,0,7.775,"Southampton"
"444","Yes","2nd","female",28,0,0,13,"Southampton"
"445","Yes","3rd","male",30,0,0,8.1125,"Southampton"
