"","Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked"
"446","Yes","1st","male",4,0,2,81.8583,"Southampton"
"447","Yes","2nd","female",13,0,1,19.5,"Southampton"
"448","Yes","1st","male",34,0,0,26.55,"Southampton"
"449","Yes","3rd","female",5,2,1,19.2583,"Cherbourg"
"450","Yes","1st","male",52,0,0,30.5,"Southampton"
"451","No","2nd","male",36,1,2,27.75,"Southampton"
"452","No","3rd","male",26,1,0,19.9667,"Southampton"
"453","No","1st","male",30,0,0,27.75,"Cherbourg"
"454","Yes","1st","male",49,1,0,89.1042,"Cherbourg"
"455","No","3rd","male",30,0,0,8.05,"Southampton"
"456","Yes","3rd","male",29,0,0,7.8958,"Cherbourg"
"457","No","1st","male",65,0,0,26.55,"Southampton"
"458","Yes","1st","female",36,1,0,51.8625,"Southampton"
"459","Yes","2nd","female",50,0,0,10.5,"Southampton"
"460","No","3rd","male",34,0,0,7.75,"Queenstown"
"461","Yes","1st","male",48,0,0,26.55,"Southampton"
"462","No","3rd","male",34,0,0,8.05,"Southampton"
"463","No","1st","male",47,0,0,38.5,"Southampton"
"464","No","2nd","male",48,0,0,13,"Southampton"
"465","No","3rd","male",30,0,0,8.05,"Southampton"
"466","No","3rd","male",38,0,0,7.05,"Southampton"
"467","No","2nd","male",31,0,0,0,"Southampton"
"468","No","1st","male",56,0,0,26.55,"Southampton"
"469","No","3rd","male",34,0,0,7.725,"Queenstown"
"470","Yes","3rd","female",0,2,1,19.2583,"Cherbourg"
"471","No","3rd","male",28,0,0,7.25,"Southampton"
"472","No","3rd","male",38,0,0,8.6625,"Southampton"
"473","Yes","2nd","female",33,1,2,27.75,"Southampton"
"474","Yes","2nd","female",23,0,0,13.7917,"Cherbourg"
"475","No","3rd","female",22,0,0,9.8375,"Southampton"
"476","No","1st","male",47,0,0,52,"Southampton"
"477","No","2nd","male",34,1,0,21,"Southampton"
"478","No","3rd","male",29,1,0,7.0458,"Southampton"
"479","No","3rd","male",22,0,0,7.5208,"Southampton"
"480","Yes","3rd","female",2,0,1,12.2875,"Southampton"
"481","No","3rd","male",9,5,2,46.9,"Southampton"
"482","No","2nd","male",31,0,0,0,"Southampton"
"483","No","3rd","male",50,0,0,8.05,"Southampton"
"484","Yes","3rd","female",63,0,0,9.5875,"Southampton"
"485","Yes","1st","male",25,1,0,91.0792,"Cherbourg"
"486","No","3rd","female",13,3,1,25.4667,"Southampton"
"487","Yes","1st","female",35,1,0,90,"Southampton"
"488","No","1st","male",58,0,0,29.7,"Cherbourg"
"489","No","3rd","male",30,0,0,8.05,"Southampton"
"490","Yes","3rd","male",9,1,1,15.9,"Southampton"
"491","No","3rd","male",26,1,0,19.9667,"Southampton"
"492","No","3rd","male",21,0,0,7.25,"Southampton"
"493","No","1st","male",55,0,0,30.5,"Southampton"
"494","No","1st","male",71,0,0,49.5042,"Cherbourg"
"495","No","3rd","male",21,0,0,8.05,"Southampton"
"496","No","3rd","male",29,0,0,14.4583,"Cherbourg"
"497","Yes","1st","female",54,1,0,78.2667,"Cherbourg"
"498","No","3rd","male",23,0,0,15.1,"Southampton"
"499","No","1st","female",25,1,2,151.55,"Southampton"
"500","No","3rd","male",24,0,0,7.7958,"Southampton"
"501","No","3rd","male",17,0,0,8.6625,"Southampton"
"502","No","3rd","female",21,0,0,7.75,"Queenstown"
"503","No","3rd","female",28,0,0,7.6292,"Queenstown"
"504","No","3rd","female",37,0,0,9.5875,"Southampton"
"505","Yes","1st","female",16,0,0,86.5,"Southampton"
"506","No","1st","male",18,1,0,108.9,"Cherbourg"
"507","Yes","2nd","female",33,0,2,26,"Southampton"
"508","Yes","1st","male",43,0,0,26.55,"Southampton"
"509","No","3rd","male",28,0,0,22.525,"Southampton"
"510","Yes","3rd","male",26,0,0,56.4958,"Southampton"
"511","Yes","3rd","male",29,0,0,7.75,"Queenstown"
"512","No","3rd","male",30,0,0,8.05,"Southampton"
"513","Yes","1st","male",36,0,0,26.2875,"Southampton"
"514","Yes","1st","female",54,1,0,59.4,"Cherbourg"
"515","No","3rd","male",24,0,0,7.4958,"Southampton"
"516","No","1st","male",47,0,0,34.0208,"Southampton"
"517","Yes","2nd","female",34,0,0,10.5,"Southampton"
"518","No","3rd","male",34,0,0,24.15,"Queenstown"
"519","Yes","2nd","female",36,1,0,26,"Southampton"
"520","No","3rd","male",32,0,0,7.8958,"Southampton"
"521","Yes","1st","female",30,0,0,93.5,"Southampton"
"522","No","3rd","male",22,0,0,7.8958,"Southampton"
"523","No","3rd","male",31,0,0,7.225,"Cherbourg"
"524","Yes","1st","female",44,0,1,57.9792,"Cherbourg"
"525","No","3rd","male",31,0,0,7.2292,"Cherbourg"
"526","No","3rd","male",40,0,0,7.75,"Queenstown"
"527","Yes","2nd","female",50,0,0,10.5,"Southampton"
"528","No","1st","male",45,0,0,221.7792,"Southampton"
"529","No","3rd","male",39,0,0,7.925,"Southampton"
"530","No","2nd","male",23,2,1,11.5,"Southampton"
"531","Yes","2nd","female",2,1,1,26,"Southampton"
"532","No","3rd","male",31,0,0,7.2292,"Cherbourg"
"533","No","3rd","male",17,1,1,7.2292,"Cherbourg"
"534","Yes","3rd","female",10,0,2,22.3583,"Cherbourg"
"535","No","3rd","female",30,0,0,8.6625,"Southampton"
"536","Yes","2nd","female",7,0,2,26.25,"Southampton"
"537","No","1st","male",45,0,0,26.55,"Southampton"
"538","Yes","1st","female",30,0,0,106.425,"Cherbourg"
"539","No","3rd","male",23,0,0,14.5,"Southampton"
"540","Yes","1st","female",22,0,2,49.5,"Cherbourg"
"541","Yes","1st","female",36,0,2,71,"Southampton"
"542","No","3rd","female",9,4,2,31.275,"Southampton"
"543","No","3rd","female",11,4,2,31.275,"Southampton"
"544","Yes","2nd","male",32,1,0,26,"Southampton"
"545","No","1st","male",50,1,0,106.425,"Cherbourg"
"546","No","1st","male",64,0,0,26,"Southampton"
"547","Yes","2nd","female",19,1,0,26,"Southampton"
"548","Yes","2nd","male",28,0,0,13.8625,"Cherbourg"
"549","No","3rd","male",33,1,1,20.525,"Southampton"
"550","Yes","2nd","male",8,1,1,36.75,"Southampton"
"551","Yes","1st","male",17,0,2,110.8833,"Cherbourg"
"552","No","2nd","male",27,0,0,26,"Southampton"
"553","No","3rd","male",34,0,0,7.8292,"Queenstown"
"554","Yes","3rd","male",22,0,0,7.225,"Cherbourg"
"555","Yes","3rd","female",22,0,0,7.775,"Southampton"
"556","No","1st","male",62,0,0,26.55,"Southampton"
"557","Yes","1st","female",48,1,0,39.6,"Cherbourg"
"558","No","1st","male",38,0,0,227.525,"Cherbourg"
"559","Yes","1st","female",39,1,1,79.65,"Southampton"
"560","Yes","3rd","female",36,1,0,17.4,"Southampton"
"561","No","3rd","male",34,0,0,7.75,"Queenstown"
"562","No","3rd","male",40,0,0,7.8958,"Southampton"
"563","No","2nd","male",28,0,0,13.5,"Southampton"
"564","No","3rd","male",30,0,0,8.05,"Southampton"
"565","No","3rd","female",25,0,0,8.05,"Southampton"
"566","No","3rd","male",24,2,0,24.15,"Southampton"
"567","No","3rd","male",19,0,0,7.8958,"Southampton"
"568","No","3rd","female",29,0,4,21.075,"Southampton"
"569","No","3rd","male",31,0,0,7.2292,"Cherbourg"
"570","Yes","3rd","male",32,0,0,7.8542,"Southampton"
"571","Yes","2nd","male",62,0,0,10.5,"Southampton"
"572","Yes","1st","female",53,2,0,51.4792,"Southampton"
"573","Yes","1st","male",36,0,0,26.3875,"Southampton"
"574","Yes","3rd","female",21,0,0,7.75,"Queenstown"
"575","No","3rd","male",16,0,0,8.05,"Southampton"
"576","No","3rd","male",19,0,0,14.5,"Southampton"
"577","Yes","2nd","female",34,0,0,13,"Southampton"
"578","Yes","1st","female",39,1,0,55.9,"Southampton"
"579","No","3rd","female",24,1,0,14.4583,"Cherbourg"
"580","Yes","3rd","male",32,0,0,7.925,"Southampton"
"581","Yes","2nd","female",25,1,1,30,"Southampton"
"582","Yes","1st","female",39,1,1,110.8833,"Cherbourg"
"583","No","2nd","male",54,0,0,26,"Southampton"
"584","No","1st","male",36,0,0,40.125,"Cherbourg"
"585","No","3rd","male",32,0,0,8.7125,"Cherbourg"
"586","Yes","1st","female",18,0,2,79.65,"Southampton"
"587","No","2nd","male",47,0,0,15,"Southampton"
"588","Yes","1st","male",60,1,1,79.2,"Cherbourg"
"589","No","3rd","male",22,0,0,8.05,"Southampton"
"590","No","3rd","male",30,0,0,8.05,"Southampton"
"591","No","3rd","male",35,0,0,7.125,"Southampton"
"592","Yes","1st","female",52,1,0,78.2667,"Cherbourg"
"593","No","3rd","male",47,0,0,7.25,"Southampton"
"594","No","3rd","female",25,0,2,7.75,"Queenstown"
"595","No","2nd","male",37,1,0,26,"Southampton"
"596","No","3rd","male",36,1,1,24.15,"Southampton"
"597","Yes","2nd","female",35,0,0,33,"Southampton"
"598","No","3rd","male",49,0,0,0,"Southampton"
"599","No","3rd","male",31,0,0,7.225,"Cherbourg"
"600","Yes","1st","male",49,1,0,56.9292,"Cherbourg"
"601","Yes","2nd","female",24,2,1,27,"Southampton"
"602","No","3rd","male",29,0,0,7.8958,"Southampton"
"603","No","1st","male",47,0,0,42.4,"Southampton"
"604","No","3rd","male",44,0,0,8.05,"Southampton"
"605","Yes","1st","male",35,0,0,26.55,"Cherbourg"
"606","No","3rd","male",36,1,0,15.55,"Southampton"
"607","No","3rd","male",30,0,0,7.8958,"Southampton"
"608","Yes","1st","male",27,0,0,30.5,"Southampton"
"609","Yes","2nd","female",22,1,2,41.5792,"Cherbourg"
"610","Yes","1st","female",40,0,0,153.4625,"Southampton"
"611","No","3rd","female",39,1,5,31.275,"Southampton"
"612","No","3rd","male",30,0,0,7.05,"Southampton"
"613","Yes","3rd","female",19,1,0,15.5,"Queenstown"
"614","No","3rd","male",34,0,0,7.75,"Queenstown"
"615","No","3rd","male",35,0,0,8.05,"Southampton"
"616","Yes","2nd","female",24,1,2,65,"Southampton"
"617","No","3rd","male",34,1,1,14.4,"Southampton"
"618","No","3rd","female",26,1,0,16.1,"Southampton"
"619","Yes","2nd","female",4,2,1,39,"Southampton"
"620","No","2nd","male",26,0,0,10.5,"Southampton"
"621","No","3rd","male",27,1,0,14.4542,"Cherbourg"
"622","Yes","1st","male",42,1,0,52.5542,"Southampton"
"623","Yes","3rd","male",20,1,1,15.7417,"Cherbourg"
"624","No","3rd","male",21,0,0,7.8542,"Southampton"
"625","No","3rd","male",21,0,0,16.1,"Southampton"
"626","No","1st","male",61,0,0,32.3208,"Southampton"
"627","No","2nd","male",57,0,0,12.35,"Queenstown"
"628","Yes","1st","female",21,0,0,77.9583,"Southampton"
"629","No","3rd","male",26,0,0,7.8958,"Southampton"
"630","No","3rd","male",34,0,0,7.7333,"Queenstown"
"631","Yes","1st","male",80,0,0,30,"Southampton"
"632","No","3rd","male",51,0,0,7.0542,"Southampton"
"633","Yes","1st","male",32,0,0,30.5,"Cherbourg"
"634","No","1st","male",48,0,0,0,"Southampton"
"635","No","3rd","female",9,3,2,27.9,"Southampton"
"636","Yes","2nd","female",28,0,0,13,"Southampton"
"637","No","3rd","male",32,0,0,7.925,"Southampton"
"638","No","2nd","male",31,1,1,26.25,"Southampton"
"639","No","3rd","female",41,0,5,39.6875,"Southampton"
"640","No","3rd","male",26,1,0,16.1,"Southampton"
"641","No","3rd","male",20,0,0,7.8542,"Southampton"
"642","Yes","1st","female",24,0,0,69.3,"Cherbourg"
"643","No","3rd","female",2,3,2,27.9,"Southampton"
"644","Yes","3rd","male",27,0,0,56.4958,"Southampton"
"645","Yes","3rd","female",0,2,1,19.2583,"Cherbourg"
"646","Yes","1st","male",48,1,0,76.7292,"Cherbourg"
"647","No","3rd","male",19,0,0,7.8958,"Southampton"
"648","Yes","1st","male",56,0,0,35.5,"Cherbourg"
"649","No","3rd","male",30,0,0,7.55,"Southampton"
"650","Yes","3rd","female",23,0,0,7.55,"Southampton"
"651","No","3rd","male",29,0,0,7.8958,"Southampton"
"652","Yes","2nd","female",18,0,1,23,"Southampton"
"653","No","3rd","male",21,0,0,8.4333,"Southampton"
"654","Yes","3rd","female",20,0,0,7.8292,"Queenstown"
"655","No","3rd","female",18,0,0,6.75,"Queenstown"
"656","No","2nd","male",24,2,0,73.5,"Southampton"
"657","No","3rd","male",29,0,0,7.8958,"Southampton"
"658","No","3rd","female",32,1,1,15.5,"Queenstown"
"659","No","2nd","male",23,0,0,13,"Southampton"
"660","No","1st","male",58,0,2,113.275,"Cherbourg"
"661","Yes","1st","male",50,2,0,133.65,"Southampton"
"662","No","3rd","male",40,0,0,7.225,"Cherbourg"
"663","No","1st","male",47,0,0,25.5875,"Southampton"
"664","No","3rd","male",36,0,0,7.4958,"Southampton"
"665","Yes","3rd","male",20,1,0,7.925,"Southampton"
"666","No","2nd","male",32,2,0,73.5,"Southampton"
"667","No","2nd","male",25,0,0,13,"Southampton"
"668","No","3rd","male",28,0,0,7.775,"Southampton"
"669","No","3rd","male",43,0,0,8.05,"Southampton"
"670","Yes","1st","female",36,1,0,52,"Southampton"
"671","Yes","2nd","female",40,1,1,39,"Southampton"
"672","No","1st","male",31,1,0,52,"Southampton"
"673","No","2nd","male",70,0,0,10.5,"Southampton"
"674","Yes","2nd","male",31,0,0,13,"Southampton"
"675","No","2nd","male",31,0,0,0,"Southampton"
"676","No","3rd","male",18,0,0,7.775,"Southampton"
"677","No","3rd","male",24,0,0,8.05,"Southampton"
"678","Yes","3rd","female",18,0,0,9.8417,"Southampton"
"679","No","3rd","female",43,1,6,46.9,"Southampton"
"680","Yes","1st","male",36,0,1,512.3292,"Cherbourg"
"681","No","3rd","female",23,0,0,8.1375,"Queenstown"
"682","Yes","1st","male",27,0,0,76.7292,"Cherbourg"
"683","No","3rd","male",20,0,0,9.225,"Southampton"
"684","No","3rd","male",14,5,2,46.9,"Southampton"
"685","No","2nd","male",60,1,1,39,"Southampton"
"686","No","2nd","male",25,1,2,41.5792,"Cherbourg"
"687","No","3rd","male",14,4,1,39.6875,"Southampton"
"688","No","3rd","male",19,0,0,10.1708,"Southampton"
"689","No","3rd","male",18,0,0,7.7958,"Southampton"
"690","Yes","1st","female",15,0,1,211.3375,"Southampton"
"691","Yes","1st","male",31,1,0,57,"Southampton"
"692","Yes","3rd","female",4,0,1,13.4167,"Cherbourg"
"693","Yes","3rd","male",27,0,0,56.4958,"Southampton"
"694","No","3rd","male",25,0,0,7.225,"Cherbourg"
"695","No","1st","male",60,0,0,26.55,"Southampton"
"696","No","2nd","male",52,0,0,13.5,"Southampton"
"697","No","3rd","male",44,0,0,8.05,"Southampton"
"698","Yes","3rd","female",21,0,0,7.7333,"Queenstown"
"699","No","1st","male",49,1,1,110.8833,"Cherbourg"
"700","No","3rd","male",42,0,0,7.65,"Southampton"
"701","Yes","1st","female",18,1,0,227.525,"Cherbourg"
"702","Yes","1st","male",35,0,0,26.2875,"Southampton"
"703","No","3rd","female",18,0,1,14.4542,"Cherbourg"
"704","No","3rd","male",25,0,0,7.7417,"Queenstown"
"705","No","3rd","male",26,1,0,7.8542,"Southampton"
"706","No","2nd","male",39,0,0,26,"Southampton"
"707","Yes","2nd","female",45,0,0,13.5,"Southampton"
"708","Yes","1st","male",42,0,0,26.2875,"Southampton"
"709","Yes","1st","female",22,0,0,151.55,"Southampton"
"710","Yes","3rd","male",14,1,1,15.2458,"Cherbourg"
"711","Yes","1st","female",24,0,0,49.5042,"Cherbourg"
"712","No","1st","male",53,0,0,26.55,"Southampton"
"713","Yes","1st","male",48,1,0,52,"Southampton"
"714","No","3rd","male",29,0,0,9.4833,"Southampton"
"715","No","2nd","male",52,0,0,13,"Southampton"
"716","No","3rd","male",19,0,0,7.65,"Southampton"
"717","Yes","1st","female",38,0,0,227.525,"Cherbourg"
"718","Yes","2nd","female",27,0,0,10.5,"Southampton"
"719","No","3rd","male",34,0,0,15.5,"Queenstown"
"720","No","3rd","male",33,0,0,7.775,"Southampton"
"721","Yes","2nd","female",6,0,1,33,"Southampton"
"722","No","3rd","male",17,1,0,7.0542,"Southampton"
"723","No","2nd","male",34,0,0,13,"Southampton"
"724","No","2nd","male",50,0,0,13,"Southampton"
"725","Yes","1st","male",27,1,0,53.1,"Southampton"
"726","No","3rd","male",20,0,0,8.6625,"Southampton"
"727","Yes","2nd","female",30,3,0,21,"Southampton"
"728","Yes","3rd","female",21,0,0,7.7375,"Queenstown"
"729","No","2nd","male",25,1,0,26,"Southampton"
"730","No","3rd","female",25,1,0,7.925,"Southampton"
"731","Yes","1st","female",29,0,0,211.3375,"Southampton"
"732","No","3rd","male",11,0,0,18.7875,"Cherbourg"
"733","No","2nd","male",31,0,0,0,"Southampton"
"734","No","2nd","male",23,0,0,13,"Southampton"
"735","No","2nd","male",23,0,0,13,"Southampton"
"736","No","3rd","male",28,0,0,16.1,"Southampton"
"737","No","3rd","female",48,1,3,34.375,"Southampton"
"738","Yes","1st","male",35,0,0,512.3292,"Cherbourg"
"739","No","3rd","male",29,0,0,7.8958,"Southampton"
"740","No","3rd","male",29,0,0,7.8958,"Southampton"
"741","Yes","1st","male",43,0,0,30,"Southampton"
"742","No","1st","male",36,1,0,78.85,"Southampton"
"743","Yes","1st","female",21,2,2,262.375,"Cherbourg"
"744","No","3rd","male",24,1,0,16.1,"Southampton"
"745","Yes","3rd","male",31,0,0,7.925,"Southampton"
"746","No","1st","male",70,1,1,71,"Southampton"
"747","No","3rd","male",16,1,1,20.25,"Southampton"
"748","Yes","2nd","female",30,0,0,13,"Southampton"
"749","No","1st","male",19,1,0,53.1,"Southampton"
"750","No","3rd","male",31,0,0,7.75,"Queenstown"
"751","Yes","2nd","female",4,1,1,23,"Southampton"
"752","Yes","3rd","male",6,0,1,12.475,"Southampton"
"753","No","3rd","male",33,0,0,9.5,"Southampton"
"754","No","3rd","male",23,0,0,7.8958,"Southampton"
"755","Yes","2nd","female",48,1,2,65,"Southampton"
"756","Yes","2nd","male",0,1,1,14.5,"Southampton"
"757","No","3rd","male",28,0,0,7.7958,"Southampton"
"758","No","2nd","male",18,0,0,11.5,"Southampton"
"759","No","3rd","male",34,0,0,8.05,"Southampton"
"760","Yes","1st","female",33,0,0,86.5,"Southampton"
"761","No","3rd","male",23,0,0,14.5,"Southampton"
"762","No","3rd","male",41,0,0,7.125,"Southampton"
"763","Yes","3rd","male",20,0,0,7.2292,"Cherbourg"
"764","Yes","1st","female",36,1,2,120,"Southampton"
"765","No","3rd","male",16,0,0,7.775,"Southampton"
"766","Yes","1st","female",51,1,0,77.9583,"Southampton"
"767","No","1st","male",46,0,0,39.6,"Cherbourg"
"768","No","3rd","female",30,0,0,7.75,"Queenstown"
"769","No","3rd","male",34,1,0,24.15,"Queenstown"
"770","No","3rd","male",32,0,0,8.3625,"Southampton"
"771","No","3rd","male",24,0,0,9.5,"Southampton"
"772","No","3rd","male",48,0,0,7.8542,"Southampton"
"773","No","2nd","female",57,0,0,10.5,"Southampton"
"774","No","3rd","male",31,0,0,7.225,"Cherbourg"
"775","Yes","2nd","female",54,1,3,23,"Southampton"
"776","No","3rd","male",18,0,0,7.75,"Southampton"
"777","No","3rd","male",34,0,0,7.75,"Queenstown"
"778","Yes","3rd","female",5,0,0,12.475,"Southampton"
"779","No","3rd","male",34,0,0,7.7375,"Queenstown"
"780","Yes","1st","female",43,0,1,211.3375,"Southampton"
"781","Yes","3rd","female",13,0,0,7.2292,"Cherbourg"
"782","Yes","1st","female",17,1,0,57,"Southampton"
"783","No","1st","male",29,0,0,30,"Southampton"
"784","No","3rd","male",24,1,2,23.45,"Southampton"
"785","No","3rd","male",25,0,0,7.05,"Southampton"
"786","No","3rd","male",25,0,0,7.25,"Southampton"
"787","Yes","3rd","female",18,0,0,7.4958,"Southampton"
"788","No","3rd","male",8,4,1,29.125,"Queenstown"
"789","Yes","3rd","male",1,1,2,20.575,"Southampton"
"790","No","1st","male",46,0,0,79.2,"Cherbourg"
"791","No","3rd","male",34,0,0,7.75,"Queenstown"
"792","No","2nd","male",16,0,0,26,"Southampton"
"793","No","3rd","female",9,8,2,69.55,"Southampton"
"794","No","1st","male",46,0,0,30.6958,"Cherbourg"
"795","No","3rd","male",25,0,0,7.8958,"Southampton"
"796","No","2nd","male",39,0,0,13,"Southampton"
"797","Yes","1st","female",49,0,0,25.9292,"Southampton"
"798","Yes","3rd","female",31,0,0,8.6833,"Southampton"
"799","No","3rd","male",30,0,0,7.2292,"Cherbourg"
"800","No","3rd","female",30,1,1,24.15,"Southampton"
"801","No","2nd","male",34,0,0,13,"Southampton"
"802","Yes","2nd","female",31,1,1,26.25,"Southampton"
"803","Yes","1st","male",11,1,2,120,"Southampton"
"804","Yes","3rd","male",0,0,1,8.5167,"Cherbourg"
"805","Yes","3rd","male",27,0,0,6.975,"Southampton"
"806","No","3rd","male",31,0,0,7.775,"Southampton"
"807","No","1st","male",39,0,0,0,"Southampton"
"808","No","3rd","female",18,0,0,7.775,"Southampton"
"809","No","2nd","male",39,0,0,13,"Southampton"
"810","Yes","1st","female",33,1,0,53.1,"Southampton"
"811","No","3rd","male",26,0,0,7.8875,"Southampton"
"812","No","3rd","male",39,0,0,24.15,"Southampton"
"813","No","2nd","male",35,0,0,10.5,"Southampton"
"814","No","3rd","female",6,4,2,31.275,"Southampton"
"815","No","3rd","male",30,0,0,8.05,"Southampton"
"816","No","1st","male",48,0,0,0,"Southampton"
"817","No","3rd","female",23,0,0,7.925,"Southampton"
"818","No","2nd","male",31,1,1,37.0042,"Cherbourg"
"819","No","3rd","male",43,0,0,6.45,"Southampton"
"820","No","3rd","male",10,3,2,27.9,"Southampton"
"821","Yes","1st","female",52,1,1,93.5,"Southampton"
"822","Yes","3rd","male",27,0,0,8.6625,"Southampton"
"823","No","1st","male",38,0,0,0,"Southampton"
"824","Yes","3rd","female",27,0,1,12.475,"Southampton"
"825","No","3rd","male",2,4,1,39.6875,"Southampton"
"826","No","3rd","male",34,0,0,6.95,"Queenstown"
"827","No","3rd","male",24,0,0,56.4958,"Southampton"
"828","Yes","2nd","male",1,0,2,37.0042,"Cherbourg"
"829","Yes","3rd","male",34,0,0,7.75,"Queenstown"
"831","Yes","3rd","female",15,1,0,14.4542,"Cherbourg"
"832","Yes","2nd","male",0,1,1,18.75,"Southampton"
"833","No","3rd","male",31,0,0,7.2292,"Cherbourg"
"834","No","3rd","male",23,0,0,7.8542,"Southampton"
"835","No","3rd","male",18,0,0,8.3,"Southampton"
"836","Yes","1st","female",39,1,1,83.1583,"Cherbourg"
"837","No","3rd","male",21,0,0,8.6625,"Southampton"
"838","No","3rd","male",30,0,0,8.05,"Southampton"
"839","Yes","3rd","male",32,0,0,56.4958,"Southampton"
"840","Yes","1st","male",36,0,0,29.7,"Cherbourg"
"841","No","3rd","male",20,0,0,7.925,"Southampton"
"842","No","2nd","male",16,0,0,10.5,"Southampton"
"843","Yes","1st","female",30,0,0,31,"Cherbourg"
"844","No","3rd","male",34,0,0,6.4375,"Cherbourg"
"845","No","3rd","male",17,0,0,8.6625,"Southampton"
"846","No","3rd","male",42,0,0,7.55,"Southampton"
"847","No","3rd","male",7,8,2,69.55,"Southampton"
"848","No","3rd","male",35,0,0,7.8958,"Cherbourg"
"849","No","2nd","male",28,0,1,33,"Southampton"
"850","Yes","1st","female",39,1,0,89.1042,"Cherbourg"
"851","No","3rd","male",4,4,2,31.275,"Southampton"
"852","No","3rd","male",74,0,0,7.775,"Southampton"
"853","No","3rd","female",9,1,1,15.2458,"Cherbourg"
"854","Yes","1st","female",16,0,1,39.4,"Southampton"
"855","No","2nd","female",44,1,0,26,"Southampton"
"856","Yes","3rd","female",18,0,1,9.35,"Southampton"
"857","Yes","1st","female",45,1,1,164.8667,"Southampton"
"858","Yes","1st","male",51,0,0,26.55,"Southampton"
"859","Yes","3rd","female",24,0,3,19.2583,"Cherbourg"
"860","No","3rd","male",31,0,0,7.2292,"Cherbourg"
"861","No","3rd","male",41,2,0,14.1083,"Southampton"
"862","No","2nd","male",21,1,0,11.5,"Southampton"
"863","Yes","1st","female",48,0,0,25.9292,"Southampton"
"864","No","3rd","female",9,8,2,69.55,"Southampton"
"865","No","2nd","male",24,0,0,13,"Southampton"
"866","Yes","2nd","female",42,0,0,13,"Southampton"
"867","Yes","2nd","female",27,1,0,13.8583,"Cherbourg"
"868","No","1st","male",31,0,0,50.4958,"Southampton"
"869","No","3rd","male",24,0,0,9.5,"Southampton"
"870","Yes","3rd","male",4,1,1,11.1333,"Southampton"
"871","No","3rd","male",26,0,0,7.8958,"Southampton"
"872","Yes","1st","female",47,1,1,52.5542,"Southampton"
"873","No","1st","male",33,0,0,5,"Southampton"
"874","No","3rd","male",47,0,0,9,"Southampton"
"875","Yes","2nd","female",28,1,0,24,"Cherbourg"
"876","Yes","3rd","female",15,0,0,7.225,"Cherbourg"
"877","No","3rd","male",20,0,0,9.8458,"Southampton"
"878","No","3rd","male",19,0,0,7.8958,"Southampton"
"879","No","3rd","male",29,0,0,7.8958,"Southampton"
"880","Yes","1st","female",56,0,1,83.1583,"Cherbourg"
"881","Yes","2nd","female",25,0,1,26,"Southampton"
"882","No","3rd","male",33,0,0,7.8958,"Southampton"
"883","No","3rd","female",22,0,0,10.5167,"Southampton"
"884","No","2nd","male",28,0,0,10.5,"Southampton"
"885","No","3rd","male",25,0,0,7.05,"Southampton"
"886","No","3rd","female",39,0,5,29.125,"Queenstown"
"887","No","2nd","male",27,0,0,13,"Southampton"
"888","Yes","1st","female",19,0,0,30,"Southampton"
"889","No","3rd","female",22,1,2,23.45,"Southampton"
"890","Yes","1st","male",26,0,0,30,"Cherbourg"
"891","No","3rd","male",32,0,0,7.75,"Queenstown"
